"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","46.40","47.44","49.80","46.16","4.42M","-3.89%"
"May 05, 2022","48.28","48.36","48.72","48.02","3.38M","0.58%"
"May 04, 2022","48.00","48.16","48.30","47.88","1.25M","-0.08%"
"May 03, 2022","48.04","48.40","48.40","47.44","1.46M","-0.74%"
"Apr 29, 2022","48.40","47.22","48.66","46.64","5.28M","2.20%"
"Apr 28, 2022","47.36","47.06","47.72","46.58","6.81M","0.21%"
"Apr 27, 2022","47.26","46.78","47.28","45.82","5.96M","2.78%"
"Apr 26, 2022","45.98","47.10","47.32","45.88","5.59M","-2.17%"
"Apr 25, 2022","47.00","48.80","49.30","46.16","8.85M","-5.36%"
"Apr 22, 2022","49.66","49.04","49.76","48.76","2.36M","0.00%"
"Apr 21, 2022","49.66","50.40","50.70","49.12","5.57M","-1.51%"
"Apr 20, 2022","50.42","51.42","51.42","50.38","4.81M","-2.36%"
"Apr 19, 2022","51.64","52.40","52.40","51.44","1.59M","-1.53%"
"Apr 14, 2022","52.44","52.46","52.90","52.14","6.87M","1.08%"
"Apr 13, 2022","51.88","51.96","52.50","51.72","2.89M","-0.50%"
"Apr 12, 2022","52.14","51.28","52.34","51.00","6.90M","1.72%"
"Apr 11, 2022","51.26","52.92","52.92","51.14","3.93M","-3.14%"
"Apr 08, 2022","52.92","52.82","53.10","52.38","1.85M","0.38%"
"Apr 07, 2022","52.72","53.08","53.42","52.56","5.07M","-0.75%"
"Apr 06, 2022","53.12","53.40","53.40","52.88","2.11M","-1.01%"
"Apr 04, 2022","53.66","53.76","53.76","53.42","1.44M","0.00%"
"Apr 01, 2022","53.66","52.60","53.80","52.60","2.54M","1.25%"
"Mar 31, 2022","53.00","53.20","53.26","52.84","1.08M","-0.45%"
"Mar 30, 2022","53.24","51.54","53.36","51.54","7.04M","3.50%"
"Mar 29, 2022","51.44","52.00","52.12","51.40","3.12M","-0.35%"
"Mar 28, 2022","51.62","51.82","52.04","50.80","3.91M","-0.92%"
"Mar 25, 2022","52.10","53.00","53.14","51.86","4.57M","-1.59%"
"Mar 24, 2022","52.94","53.18","53.28","52.46","3.15M","-0.45%"
"Mar 23, 2022","53.18","53.26","53.44","52.92","3.01M","-0.15%"
"Mar 22, 2022","53.26","52.96","53.48","52.80","1.80M","0.57%"
"Mar 21, 2022","52.96","53.52","53.52","52.50","6.32M","-0.15%"
"Mar 18, 2022","53.04","53.10","53.48","52.34","4.91M","-0.11%"
"Mar 17, 2022","53.10","53.84","53.88","52.76","7.82M","1.10%"
"Mar 16, 2022","52.52","50.36","52.52","49.24","9.01M","7.36%"
"Mar 15, 2022","48.92","51.58","51.82","48.74","13.42M","-5.49%"
"Mar 14, 2022","51.76","53.40","53.46","51.72","4.85M","-4.25%"
"Mar 11, 2022","54.06","53.98","54.36","52.32","9.13M","0.15%"
"Mar 10, 2022","53.98","53.48","54.48","53.48","2.17M","1.85%"
"Mar 09, 2022","53.00","53.36","54.00","50.78","7.05M","-0.67%"
"Mar 08, 2022","53.36","54.86","54.94","53.24","3.52M","-2.27%"
"Mar 07, 2022","54.60","56.28","56.28","54.36","4.81M","-3.19%"
"Mar 04, 2022","56.40","57.00","57.00","56.34","2.62M","-1.30%"
"Mar 03, 2022","57.14","57.70","57.74","57.08","986.37K","-0.59%"
