"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2019","376.50","381.00","381.50","375.75","205.75K","-1.25%"
"01/30/2019","381.25","377.75","381.50","377.50","198.90K","1.06%"
"01/29/2019","377.25","379.75","380.75","376.00","187.02K","-0.66%"
"01/28/2019","379.75","379.50","381.00","378.00","102.14K","-0.13%"
"01/25/2019","380.25","377.00","380.50","376.00","134.09K","0.86%"
"01/24/2019","377.00","378.75","379.75","375.75","124.11K","-0.46%"
"01/23/2019","378.75","379.50","381.75","378.00","127.61K","-0.07%"
"01/22/2019","379.00","380.75","382.25","376.75","211.43K","-0.39%"
"01/20/2019","380.50","380.50","380.50","380.50","","-0.33%"
"01/18/2019","381.75","379.75","383.00","377.75","191.03K","0.46%"
"01/17/2019","380.00","374.00","381.50","373.75","207.63K","1.60%"
"01/16/2019","374.00","372.75","375.00","372.50","164.72K","0.74%"
"01/15/2019","371.25","379.50","381.00","371.00","251.26K","-1.92%"
"01/14/2019","378.50","378.50","381.00","377.00","144.74K","0.07%"
"01/11/2019","378.25","377.00","379.25","376.75","131.82K","0.53%"
"01/10/2019","376.25","381.50","382.75","376.00","181.39K","-1.51%"
"01/09/2019","382.00","380.50","383.50","380.50","192.06K","0.53%"
"01/08/2019","380.00","382.50","384.50","379.00","172.29K","-0.59%"
"01/07/2019","382.25","382.25","384.00","381.75","110.62K","-0.20%"
"01/04/2019","383.00","380.00","383.50","379.75","178.17K","0.86%"
"01/03/2019","379.75","375.50","380.50","374.75","101.46K","1.06%"
"01/02/2019","375.75","375.25","377.75","374.00","104.72K","0.20%"
"12/31/2018","375.00","375.50","377.00","372.75","91.13K","-0.13%"
"12/28/2018","375.50","374.50","377.50","374.50","89.17K","0.27%"
"12/27/2018","374.50","373.25","376.50","373.25","96.24K","0.33%"
"12/26/2018","373.25","378.25","379.25","372.50","97.15K","-1.19%"
"12/24/2018","377.75","378.25","379.00","375.25","54.84K","-0.20%"
"12/21/2018","378.50","375.50","379.50","374.75","138.73K","0.87%"
"12/20/2018","375.25","381.75","382.75","375.00","205.50K","-1.70%"
"12/19/2018","381.75","385.00","385.25","381.50","107.24K","-0.97%"
"12/18/2018","385.50","383.75","386.50","383.25","131.88K","0.39%"
"12/17/2018","384.00","384.25","386.00","383.25","97.62K","1.92%"
"12/14/2018","376.75","378.00","379.00","374.25","0.36K","0.33%"
"12/13/2018","375.50","375.00","377.50","374.00","0.23K","-0.20%"
"12/12/2018","376.25","375.50","378.00","375.50","0.63K","0.33%"
"12/11/2018","375.00","373.75","376.50","372.75","1.37K","0.20%"
"12/10/2018","374.25","374.25","376.00","372.75","1.66K","0.07%"
"12/07/2018","374.00","371.75","374.75","371.50","2.24K","0.54%"
"12/06/2018","372.00","374.00","374.50","369.25","2.30K","-0.60%"
"12/05/2018","374.25","373.50","376.00","372.50","2.09K","0.00%"
"12/04/2018","374.25","370.00","374.25","369.50","2.93K","0.81%"
"12/03/2018","371.25","372.75","374.00","369.50","7.58K","1.30%"
"11/30/2018","366.50","360.75","366.75","360.50","17.99K","1.73%"
"11/29/2018","360.25","360.50","363.00","359.00","186.62K","-0.07%"
"11/28/2018","360.50","356.25","361.50","356.00","221.95K","1.12%"
"11/27/2018","356.50","356.00","358.50","355.50","248.13K","0.14%"
"11/26/2018","356.00","359.50","360.50","355.25","331.20K","-0.84%"
"11/23/2018","359.00","361.00","361.75","358.75","174.04K","-0.62%"
"11/22/2018","361.25","361.25","361.25","361.25","","-0.14%"
"11/21/2018","361.75","361.25","363.25","360.00","184.08K","0.14%"
"11/20/2018","361.25","362.75","363.50","361.25","146.93K","-0.28%"
"11/19/2018","362.25","364.75","366.25","361.25","179.46K","-0.69%"
"11/16/2018","364.75","367.25","368.75","363.25","180.97K","-0.75%"
"11/15/2018","367.50","366.75","371.75","366.50","182.15K","0.14%"
"11/14/2018","367.00","366.00","368.00","365.75","121.77K","0.14%"
"11/13/2018","366.50","369.50","370.75","365.50","178.86K","-1.28%"
"11/12/2018","371.25","369.00","372.50","368.00","176.02K","0.41%"
"11/09/2018","369.75","372.75","374.00","368.25","212.42K","-1.00%"
"11/08/2018","373.50","372.00","379.00","366.00","432.34K","0.34%"
"11/07/2018","372.25","372.25","373.25","371.00","233.52K","-0.27%"
"11/06/2018","373.25","373.75","374.50","372.00","206.08K","-0.20%"
"11/05/2018","374.00","371.00","374.25","369.50","191.62K","0.74%"
"11/02/2018","371.25","366.25","373.00","365.25","242.63K","1.23%"
"11/01/2018","366.75","363.25","371.00","363.00","304.75K","0.96%"
"10/31/2018","363.25","364.75","365.25","362.50","163.23K","-0.41%"
"10/30/2018","364.75","366.75","368.00","364.25","137.33K","-0.55%"
"10/29/2018","366.75","368.00","371.50","365.50","142.75K","-0.27%"
"10/26/2018","367.75","361.75","369.75","361.75","220.03K","1.87%"
"10/25/2018","361.00","367.75","368.25","360.50","262.81K","-1.97%"
"10/24/2018","368.25","369.50","369.75","367.75","114.26K","-0.54%"
"10/23/2018","370.25","369.25","372.50","368.00","136.63K","0.20%"
"10/22/2018","369.50","365.50","370.50","365.50","140.54K","0.68%"
"10/19/2018","367.00","370.50","371.00","366.00","165.33K","-1.01%"
"10/18/2018","370.75","373.00","373.25","369.50","137.27K","-0.94%"
"10/17/2018","374.25","375.00","376.25","373.25","106.45K","-0.27%"
"10/16/2018","375.25","377.25","377.50","373.50","185.90K","-0.79%"
"10/15/2018","378.25","373.00","378.50","371.75","227.94K","1.20%"
"10/12/2018","373.75","369.00","374.00","368.50","185.82K","1.22%"
"10/11/2018","369.25","362.00","373.00","360.25","233.12K","1.79%"
"10/10/2018","362.75","364.50","365.25","362.00","121.04K","-0.48%"
"10/09/2018","364.50","366.50","368.00","363.75","119.57K","-0.55%"
"10/08/2018","366.50","368.50","369.50","364.25","122.01K","-0.48%"
"10/05/2018","368.25","367.50","369.50","363.00","204.82K","0.20%"
"10/04/2018","367.50","364.75","368.50","364.75","130.83K","0.75%"
"10/03/2018","364.75","367.75","369.00","364.50","139.28K","-0.75%"
"10/02/2018","367.50","365.00","369.00","363.25","206.15K","0.48%"
"10/01/2018","365.75","356.75","366.50","356.50","214.37K","2.67%"
"09/28/2018","356.25","364.50","366.75","354.50","237.21K","-2.33%"
"09/27/2018","364.75","363.00","365.75","361.25","113.91K","0.48%"
"09/26/2018","363.00","363.50","364.75","361.25","137.90K","-0.21%"
"09/25/2018","363.75","360.25","364.25","357.50","187.87K","0.90%"
"09/24/2018","360.50","357.25","362.00","355.75","148.37K","0.91%"
"09/21/2018","357.25","352.50","357.75","352.25","156.11K","1.35%"
"09/20/2018","352.50","345.25","356.25","344.75","266.80K","1.95%"
"09/19/2018","345.75","343.00","346.75","343.00","151.07K","0.73%"
"09/18/2018","343.25","348.00","348.75","342.50","199.08K","-1.36%"
"09/17/2018","348.00","351.00","351.75","347.75","145.27K","3.26%"
"09/14/2018","337.00","338.50","338.75","337.50","0.06K","0.22%"
"09/13/2018","336.25","344.50","344.50","337.00","0.13K","-1.54%"
"09/12/2018","341.50","354.25","354.50","340.50","0.41K","-3.87%"
"09/11/2018","355.25","357.25","357.25","354.75","0.29K","-0.07%"
"09/10/2018","355.50","353.25","356.00","353.00","1.26K","0.35%"
"09/07/2018","354.25","352.75","355.75","351.00","0.69K","0.21%"
"09/06/2018","353.50","353.50","354.50","350.75","2.16K","0.50%"
"09/05/2018","351.75","356.00","356.00","351.00","3.51K","-0.78%"
"09/04/2018","354.50","351.50","355.25","347.25","4.87K","-3.08%"
"09/03/2018","365.75","365.25","366.00","365.25","","4.20%"
"08/31/2018","351.00","341.00","352.00","340.75","17.11K","2.93%"
"08/30/2018","341.00","341.50","344.00","340.50","122.61K","-0.07%"
"08/29/2018","341.25","341.00","344.00","340.25","113.20K","0.07%"
"08/28/2018","341.00","345.75","347.75","340.75","143.20K","-1.66%"
"08/27/2018","346.75","348.50","348.75","343.00","139.29K","-0.50%"
"08/24/2018","348.50","346.50","350.00","346.25","124.75K","0.50%"
"08/23/2018","346.75","353.00","355.00","346.25","144.61K","-1.63%"
"08/22/2018","352.50","359.25","359.25","352.25","102.51K","-2.02%"
"08/21/2018","359.75","362.75","363.75","358.50","98.59K","-0.62%"
"08/20/2018","362.00","365.25","366.00","359.50","88.31K","-0.62%"
"08/17/2018","364.25","365.00","367.75","361.75","82.45K","-0.27%"
"08/16/2018","365.25","361.50","367.50","360.50","79.36K","1.04%"
"08/15/2018","361.50","362.25","363.50","359.00","102.54K","-0.21%"
"08/14/2018","362.25","356.50","363.00","356.50","101.21K","1.61%"
"08/13/2018","356.50","357.50","358.00","352.25","178.69K","-0.35%"
"08/10/2018","357.75","368.50","369.75","357.00","182.40K","-3.11%"
"08/09/2018","369.25","371.00","372.75","366.50","148.24K","-0.54%"
"08/08/2018","371.25","370.50","373.75","370.00","123.37K","0.13%"
"08/07/2018","370.75","371.00","373.25","368.75","167.09K","-0.07%"
"08/06/2018","371.00","370.00","371.75","368.25","80.95K","0.34%"
"08/03/2018","369.75","366.75","371.25","364.75","77.99K","0.82%"
"08/02/2018","366.75","365.00","372.75","364.75","161.08K","0.48%"
"08/01/2018","365.00","372.00","373.00","364.00","120.05K","-1.95%"
"07/31/2018","372.25","367.00","374.25","366.25","141.81K","1.36%"
"07/30/2018","367.25","364.00","369.25","363.50","127.46K","1.45%"
"07/27/2018","362.00","361.00","363.75","359.50","133.49K","0.14%"
"07/26/2018","361.50","361.00","365.75","360.25","146.38K","0.63%"
"07/25/2018","359.25","352.25","360.00","352.00","121.59K","2.06%"
"07/24/2018","352.00","355.25","356.50","351.50","105.61K","-1.47%"
"07/23/2018","357.25","356.00","358.50","354.50","75.40K","0.56%"
"07/20/2018","355.25","351.25","355.75","349.75","69.61K","1.14%"
"07/19/2018","351.25","347.00","352.00","345.00","81.41K","1.15%"
"07/18/2018","347.25","346.25","349.00","346.00","81.87K","0.29%"
"07/17/2018","346.25","345.00","348.75","344.25","100.12K","1.32%"
"07/16/2018","341.75","340.00","345.75","338.75","95.29K","3.48%"
"07/13/2018","330.25","332.25","332.50","332.25","0.27K","-1.86%"
"07/12/2018","336.50","332.25","340.75","329.75","0.53K","1.58%"
"07/11/2018","331.25","336.00","337.00","331.50","1.53K","-2.50%"
"07/10/2018","339.75","344.25","344.75","336.25","2.74K","-1.74%"
"07/09/2018","345.75","346.00","348.50","342.50","3.26K","-1.71%"
"07/06/2018","351.75","342.00","352.25","342.00","3.07K","2.40%"
"07/05/2018","343.50","345.50","348.75","341.50","3.30K","0.22%"
"07/03/2018","342.75","340.25","345.25","339.25","3.05K","1.56%"
"07/02/2018","337.50","352.25","352.25","337.00","7.67K","-3.64%"
"06/29/2018","350.25","345.75","355.50","345.50","19.39K","1.52%"
"06/28/2018","345.00","351.50","352.50","344.50","143.97K","-2.13%"
"06/27/2018","352.50","352.00","356.50","351.50","163.32K","0.00%"
"06/26/2018","352.50","350.50","355.50","348.00","227.15K","0.57%"
"06/25/2018","350.50","358.50","359.50","349.25","203.16K","-1.89%"
"06/22/2018","357.25","358.00","359.75","355.00","141.68K","0.07%"
"06/21/2018","357.00","354.25","359.00","349.25","168.57K","0.78%"
"06/20/2018","354.25","354.00","357.00","347.50","200.17K","0.14%"
"06/19/2018","353.75","355.75","357.75","338.75","334.34K","-0.63%"
"06/18/2018","356.00","359.50","362.00","354.00","177.75K","-1.45%"
"06/15/2018","361.25","364.50","368.25","355.25","297.48K","-0.48%"
"06/14/2018","363.00","374.00","374.75","362.50","357.60K","-3.46%"
"06/13/2018","376.00","377.50","379.75","373.25","227.65K","-0.40%"
"06/12/2018","377.50","368.00","379.50","367.25","310.11K","2.79%"
"06/11/2018","367.25","376.50","379.00","366.75","294.91K","-2.78%"
"06/08/2018","377.75","376.25","379.00","373.50","177.41K","0.40%"
"06/07/2018","376.25","379.00","382.00","374.25","300.59K","-0.53%"
"06/06/2018","378.25","384.25","386.50","378.00","227.30K","-1.43%"
"06/05/2018","383.75","380.75","385.25","380.00","212.44K","0.79%"
"06/04/2018","380.75","389.75","389.75","380.50","266.55K","-2.75%"
"06/01/2018","391.50","393.75","397.00","390.75","172.12K","-0.63%"
"05/31/2018","394.00","393.50","398.50","393.25","195.81K","0.13%"
"05/30/2018","393.50","398.25","398.50","390.75","293.00K","-1.63%"
"05/29/2018","400.00","408.75","410.00","397.50","242.71K","-2.14%"
"05/28/2018","408.75","409.00","409.00","408.75","","0.68%"
"05/25/2018","406.00","404.00","406.75","403.25","129.41K","0.43%"
"05/24/2018","404.25","408.25","412.25","403.75","236.84K","-1.04%"
"05/23/2018","408.50","404.50","409.00","403.00","163.38K","0.93%"
"05/22/2018","404.75","402.25","407.00","401.00","166.30K","0.50%"
"05/21/2018","402.75","405.50","407.50","401.25","181.09K","0.06%"
"05/18/2018","402.50","395.25","403.50","395.00","181.91K","1.83%"
"05/17/2018","395.25","399.00","402.00","395.00","147.54K","-1.00%"
"05/16/2018","399.25","401.75","404.75","398.00","171.92K","-0.75%"
